365,537,994,387,843,183,925,544,736,534;479,387,712,182,678,680,617,147,17,966
65,151,462,149,990,409,224,49,50,764;995,156,617,10,809,84,683,597,390,7
253,974,440,857,965,414,827,272,617,190;746,511,930,29,467,981,721,274,381,313
681,833,521,398,973,856,21,368,520,846;413,801,318,630,768,501,198,463,85,452
135,162,271,122,123,95,284,353,890,331;365,846,103,260,119,970,306,865,954,473
224,74,499,161,267,930,103,655,671,596;379,778,451,96,935,448,458,889,398,882
830,104,272,67,557,75,340,73,68,7;375,12,462,206,228,533,285,255,927,281
800,864,283,188,672,56,12,392,122,870;78,429,513,593,176,422,968,754,80,960
160,966,218,626,647,840,305,916,609,290;106,354,703,488,188,767,948,812,611,702
23,232,750,155,228,554,511,147,630,256;267,444,80,108,241,913,831,762,868,156
924,734,569,304,144,760,977,430,500,1000;600,281,820,47,77,38,716,11,739,966
731,90,830,158,822,910,284,290,548,96;387,591,661,777,531,140,941,615,215,210
528,719,792,82,939,685,933,118,13,873;328,686,191,67,404,455,158,957,144,231
810,296,521,847,517,190,506,349,197,959;692,308,503,746,65,628,865,614,224,222
375,5,891,40,145,425,375,1000,963,509;646,251,855,590,551,132,899,636,111,542
951,116,504,834,769,871,287,23,6,886;910,472,625,275,698,722,8,449,261,364
558,525,745,953,378,315,600,436,584,791;137,389,763,409,435,105,697,669,284,166
925,243,458,474,416,158,379,347,832,663;1,153,988,566,423,382,940,231,665,519
367,739,744,541,725,201,309,505,658,30;87,182,353,233,716,770,914,239,313,235
77,436,502,121,386,425,874,247,423,734;264,346,986,143,197,506,649,985,779,35
631,807,286,939,182,221,37,273,59,855;650,730,550,688,963,288,71,379,261,945
292,39,672,936,261,423,690,689,770,298;756,231,480,750,386,788,270,461,429,254
302,799,37,503,776,227,164,621,952,155;910,869,227,144,159,11,226,871,559,299
882,436,590,785,606,666,628,598,231,234;152,231,248,870,862,260,271,67,875,957
608,881,885,218,750,308,456,73,845,308;487,489,620,839,782,594,173,527,679,325
297,942,697,172,906,73,821,417,336,224;850,384,716,457,904,184,325,25,510,201
528,569,287,675,650,453,219,689,930,943;438,540,291,750,904,577,838,994,343,363
766,57,284,198,158,319,752,28,306,814;278,726,540,630,541,666,385,531,431,535
394,93,14,28,137,374,535,389,835,222;13,804,964,837,524,352,868,713,515,284
4,857,473,735,870,594,853,294,853,641;115,656,757,280,881,364,171,802,174,988
113,807,719,297,917,411,820,64,264,514;8,401,401,604,757,872,318,647,135,97
504,138,992,738,991,6,369,467,644,29;73,560,280,345,271,406,403,713,340,311
432,260,918,561,158,553,666,432,543,517;435,546,449,809,57,711,151,775,717,791
704,913,349,292,924,295,391,624,884,636;286,196,138,981,141,613,714,283,41,61
570,566,729,320,285,61,954,351,990,351;814,602,805,525,516,975,813,740,806,862
1,68,300,505,879,354,682,555,457,270;247,316,327,28,970,810,2,927,29,193
522,730,537,579,115,984,386,245,714,427;678,332,131,706,813,983,754,483,479,738
825,717,426,953,800,16,450,519,634,156;68,453,405,28,364,758,619,636,25,279
827,357,39,402,562,131,130,83,907,348;950,528,548,838,640,886,382,46,575,299
526,301,613,176,385,35,292,273,200,101;322,160,780,579,205,719,796,393,308,122
599,22,965,25,279,760,322,902,480,847;515,840,3,822,215,76,64,377,671,132
47,220,495,956,416,2,868,887,523,702;710,762,579,349,285,57,697,290,823,800
191,220,851,62,977,535,209,945,24,964;586,950,47,904,734,123,611,274,395,384
63,237,134,906,658,966,862,102,525,579;634,423,803,120,400,69,549,492,858,13
74,182,700,832,459,306,932,728,422,791;448,668,983,954,945,454,692,916,155,360
951,494,32,822,111,37,781,808,502,693;400,621,491,688,594,929,946,972,658,24
645,349,517,585,428,5,687,990,224,315;766,466,460,566,51,255,553,838,495,650
978,124,990,582,171,73,976,406,101,509;934,945,44,415,371,225,334,380,180,442
376,949,838,626,140,185,696,496,908,22;804,107,31,682,263,687,271,700,124,882
987,282,991,530,844,277,128,371,714,575;573,754,566,381,641,660,706,457,276,590
654,286,281,593,511,149,784,600,787,27;626,308,767,891,254,974,200,295,622,269
656,889,408,636,760,628,114,470,313,150;591,859,844,266,903,638,962,478,831,797
266,17,632,587,597,99,453,263,885,546;329,968,431,834,217,251,227,291,901,51
513,819,140,907,770,247,711,919,121,782;987,573,393,707,301,33,640,188,149,455
168,9,673,623,286,955,887,5,953,562;991,564,953,666,837,218,707,49,565,175
81,901,734,225,789,460,465,52,932,469;931,754,317,456,219,140,477,253,885,685
367,306,525,286,6,969,685,667,344,851;344,466,105,110,954,390,911,979,639,351
665,250,593,661,582,146,299,14,969,763;581,722,870,278,937,964,25,522,109,709
801,529,857,519,429,136,92,535,940,41;357,403,674,532,67,159,868,62,920,297
356,556,484,364,688,420,98,114,638,636;836,358,300,661,589,334,959,853,192,438
709,165,267,277,374,306,327,903,561,90;413,997,595,559,739,380,439,513,782,658
340,1,4,190,159,214,1000,57,136,975;444,102,531,890,458,453,106,344,206,523
75,567,149,146,966,457,992,185,169,951;31,809,28,804,152,987,733,391,962,197
179,918,883,215,387,679,552,849,594,393;496,2,214,890,570,356,59,536,667,939
29,516,291,274,889,869,478,944,380,278;883,362,233,392,802,551,671,474,59,243
159,275,322,431,529,116,61,88,163,16;909,91,233,113,702,501,629,500,245,755
944,966,764,694,93,852,424,681,130,635;925,76,908,97,336,359,682,283,15,156
866,908,110,908,126,809,573,59,79,75;351,365,375,792,74,219,699,769,735,138
610,6,582,212,839,363,816,7,906,298;620,496,58,595,863,853,825,77,285,412
177,448,24,962,134,827,529,958,411,364;250,736,81,79,558,320,365,49,355,32
893,153,979,93,729,761,151,856,318,119;725,929,244,948,51,110,548,665,869,91
693,748,227,211,505,555,161,265,956,315;420,389,590,479,251,859,477,370,613,773
31,277,274,805,441,584,458,961,940,480;612,627,721,722,522,915,374,535,886,161
9,688,274,438,843,648,696,480,746,745;339,907,169,270,762,364,924,556,849,577
352,676,660,957,527,757,203,228,841,179;337,881,284,488,536,931,777,322,13,877
799,898,482,296,35,930,683,718,199,22;63,538,393,748,36,385,551,74,532,180
387,753,451,536,819,611,400,369,90,659;750,903,988,971,582,615,556,937,884,161
612,144,309,849,717,594,348,288,912,118;484,841,309,682,733,258,177,128,522,509
692,503,122,875,959,368,94,464,186,905;153,566,19,16,883,807,298,732,814,556
379,490,856,741,407,713,503,632,506,930;562,510,886,916,663,578,916,176,211,906
683,780,903,636,965,409,407,674,625,473;536,127,980,756,166,147,23,443,152,505
125,684,449,704,241,465,416,537,822,53;627,141,834,751,574,567,362,461,596,575
592,85,851,340,306,182,26,421,700,238;383,787,507,779,696,327,32,402,259,359
830,980,659,347,464,318,467,684,579,115;88,56,6,162,29,788,946,608,977,860
520,4,162,880,24,938,382,371,959,827;868,612,253,997,804,965,35,447,473,105
471,556,513,363,186,249,804,819,15,617;898,917,708,252,231,231,133,400,691,627
296,633,964,550,10,110,248,848,173,492;500,107,110,437,236,742,191,804,14,132
480,21,953,50,304,861,805,107,132,933;394,910,842,735,988,381,253,614,861,529
54,163,75,751,306,409,683,698,5,964;758,601,938,386,671,716,993,438,251,966
81,303,586,828,738,742,192,405,726,472;861,313,38,708,431,696,177,866,351,899
37,741,809,114,141,87,297,918,799,720;418,236,351,174,548,89,687,912,790,975
159,84,152,497,59,51,87,460,844,477;495,773,857,228,133,195,307,906,635,965
663,99,839,833,874,528,820,256,185,981;799,952,903,123,581,908,399,60,528,271
315,704,710,198,248,639,816,962,673,525;971,88,752,682,423,275,242,105,576,395
142,600,647,529,134,783,986,887,751,220;283,29,692,440,575,22,519,636,936,782
223,158,520,555,256,824,180,115,685,654;376,848,608,177,164,364,11,574,671,686
93,397,444,849,849,693,714,462,298,887;608,662,606,202,290,329,912,592,763,221
44,333,789,482,865,49,912,496,388,175;38,408,85,918,722,984,721,969,863,617
410,251,309,552,662,977,174,258,196,560;609,740,792,471,443,389,88,63,170,874
715,322,661,407,887,301,76,242,656,109;318,394,682,693,316,574,146,542,20,176
652,380,468,306,393,834,546,197,743,33;18,423,12,96,493,543,480,578,570,897
765,287,683,939,357,317,35,211,994,248;167,934,804,480,381,570,643,871,268,940
544,418,923,336,83,523,261,492,899,412;341,45,95,870,678,272,449,790,120,115
370,387,232,90,470,421,888,316,324,342;553,963,311,71,206,250,155,741,860,576
682,323,735,332,374,529,819,874,516,307;68,261,993,741,805,110,953,251,409,806
986,970,117,745,99,465,306,949,175,780;41,10,210,466,123,964,430,577,700,865
628,146,420,579,368,354,238,190,418,236;641,693,986,313,674,693,295,510,840,678
660,250,324,614,372,11,70,723,410,431;10,258,247,666,162,908,710,814,440,24
552,258,852,34,661,516,524,939,173,12;148,977,497,930,9,335,115,445,201,877
237,951,966,777,585,434,772,957,360,136;338,169,86,473,592,209,319,286,682,887
862,629,716,567,698,364,830,208,237,639;165,585,380,448,862,220,603,185,833,996
861,566,678,79,971,392,393,332,837,718;521,357,475,762,469,503,436,202,894,787
230,625,630,168,938,164,691,983,476,623;43,458,601,264,586,761,657,286,111,171
620,954,718,505,606,425,872,774,10,60;528,850,885,575,539,504,696,821,397,895
214,783,722,738,19,573,444,7,159,544;593,787,428,533,947,3,221,173,316,955
633,979,638,53,14,498,183,952,358,361;469,574,373,815,194,653,324,320,819,993
470,702,757,274,121,858,761,658,693,823;601,315,499,517,426,765,544,5,420,587
554,883,185,240,841,61,264,120,882,214;719,932,559,153,437,932,526,859,299,731
438,298,94,980,355,786,196,564,23,205;700,891,678,377,815,939,92,224,639,696
155,260,914,252,198,729,104,556,353,619;304,159,931,800,312,812,258,334,301,571
691,744,463,986,813,521,789,66,218,71;531,728,400,455,957,520,927,850,598,423
102,868,565,106,122,416,106,905,283,869;831,578,97,494,686,322,466,270,297,820
537,525,365,293,41,807,786,43,562,740;495,837,645,265,107,128,453,488,478,252
729,937,446,959,998,128,600,480,147,25;273,705,411,312,364,270,54,354,193,571
265,582,230,721,465,708,480,464,235,118;59,653,502,976,582,384,64,810,519,26
845,950,88,196,912,21,803,651,455,287;22,585,733,448,826,501,838,571,768,773
833,748,1000,324,1,441,663,386,482,419;421,143,586,89,573,848,217,114,657,81
5,890,817,212,582,87,200,133,710,554;676,366,846,338,194,7,389,686,128,669
797,507,903,743,642,880,406,142,920,410;199,165,296,483,874,699,825,667,730,839
979,932,194,636,561,277,252,470,453,245;189,874,458,593,103,462,497,530,991,731
124,545,203,855,230,349,740,46,546,818;645,375,751,253,88,534,232,963,818,710
962,552,105,1000,529,6,954,505,779,920;878,47,176,793,306,362,786,681,880,933
789,975,79,69,262,766,993,617,647,23;803,152,483,137,471,459,797,246,231,840
153,524,191,321,712,537,461,558,320,45;448,737,290,395,326,163,520,112,63,240
801,186,404,902,83,241,557,682,216,992;412,211,633,941,929,698,843,959,705,880
248,417,805,370,847,155,142,816,203,108;642,186,497,736,268,753,668,459,289,15
225,217,889,418,323,937,742,785,775,806;144,333,532,408,828,217,270,201,605,513
540,80,635,293,553,352,281,887,37,478;886,503,669,462,955,829,361,233,833,628
349,374,784,688,273,742,47,571,431,285;641,123,559,886,200,572,590,785,237,689
428,344,529,397,690,841,57,883,207,920;573,690,419,868,17,646,825,116,263,1
283,740,283,254,625,365,686,213,557,475;673,528,108,153,248,619,485,360,820,445
863,269,176,774,731,953,823,475,920,436;936,876,607,811,694,950,107,175,993,710
96,224,961,938,899,4,772,570,224,737;105,747,324,473,353,347,22,744,366,36
114,538,171,987,309,694,649,710,38,721;605,324,867,743,292,872,283,159,372,215
698,684,396,384,578,145,891,222,1000,212;749,259,718,607,660,324,103,751,908,767
931,688,504,332,608,728,195,898,437,812;418,44,34,799,486,176,235,750,215,136
658,370,726,146,48,906,325,196,885,132;477,102,704,25,977,190,949,139,392,888
184,210,462,838,140,978,144,209,332,618;940,796,683,116,240,198,5,207,553,627
781,999,761,841,160,913,907,401,113,578;339,973,164,447,223,852,869,337,251,180
149,563,382,586,886,419,75,346,7,185;436,413,916,200,668,853,485,23,506,774
795,952,964,162,831,302,667,562,363,681;171,46,863,357,466,644,849,349,770,752
512,969,417,463,964,970,915,776,992,246;328,598,143,822,496,747,500,139,205,196
574,241,958,108,5,191,314,636,864,388;499,910,882,818,718,941,973,864,703,339
663,604,579,497,747,264,60,236,502,962;67,565,443,737,369,659,214,223,612,427
115,678,239,692,106,688,722,405,376,617;303,335,351,783,753,59,957,391,153,611
882,550,857,600,719,911,72,512,663,132;935,405,609,376,60,440,499,555,621,561
891,865,898,313,866,458,156,861,812,696;404,498,309,300,966,438,656,374,92,725
531,19,333,652,805,851,936,820,235,787;788,877,354,737,879,949,280,367,707,900
252,580,594,561,48,784,314,97,883,690;762,199,978,706,679,839,81,873,312,392
538,410,434,246,344,991,984,525,629,401;511,476,382,299,966,977,642,751,886,75
766,307,685,601,859,257,238,23,994,621;182,416,977,712,839,195,782,122,476,946
160,890,588,249,851,284,951,868,939,736;147,360,703,957,869,63,537,379,509,464
826,541,611,46,871,600,233,167,695,826;728,25,487,470,87,371,149,719,21,201
95,961,548,53,405,442,598,744,301,890;700,489,842,437,990,664,413,889,894,936
150,719,757,331,261,351,791,321,30,269;554,325,418,523,883,115,800,824,552,491
243,129,16,885,655,110,561,335,434,746;762,94,112,931,755,60,282,480,209,689
505,248,741,125,413,909,682,689,878,274;347,701,185,641,489,943,704,313,380,397
960,88,834,969,384,687,812,194,522,153;694,137,404,729,841,439,498,480,636,531
27,896,665,41,345,966,822,877,239,341;879,415,814,807,283,612,366,735,864,348
576,143,10,74,319,604,989,535,306,56;809,88,371,837,250,887,461,661,572,896
208,265,398,940,145,664,738,696,297,101;813,387,452,956,916,913,195,591,878,347
804,469,317,370,262,838,162,922,222,797;478,70,774,52,177,157,238,1000,220,919
712,688,177,883,467,669,663,438,760,168;691,55,62,113,609,300,740,322,598,790
757,502,348,301,981,33,172,712,848,954;417,280,894,831,800,432,322,466,970,671
133,876,578,260,885,257,622,743,487,602;169,988,221,308,339,603,17,520,273,250
798,478,505,169,557,658,776,204,774,540;758,501,371,942,201,583,364,407,524,142
942,868,52,244,384,421,342,999,820,651;168,113,574,225,695,177,999,98,417,848
99,961,656,747,438,824,703,333,37,575;172,453,12,246,867,643,825,929,401,601
158,29,568,621,857,570,99,73,211,206;841,430,431,656,856,653,119,655,250,862
159,429,959,180,781,235,986,40,685,982;712,446,537,742,520,668,75,97,522,328
104,612,610,620,211,993,55,574,956,782;806,981,831,1000,939,367,64,546,875,278
73,69,657,293,821,961,978,220,273,339;704,635,25,398,240,632,810,188,285,983
911,73,823,423,621,956,802,398,229,923;509,333,987,529,149,17,341,477,296,798
149,312,556,100,133,213,542,683,646,354;831,644,608,310,418,157,254,594,761,86
670,691,35,166,13,506,567,287,554,732;512,95,191,605,981,26,454,633,773,493
216,369,637,597,70,686,610,106,188,920;547,198,619,497,604,946,722,767,825,821
245,319,196,383,898,200,872,937,474,32;685,960,356,724,412,747,426,524,369,781
60,376,108,292,298,589,935,21,345,549;515,442,537,973,561,927,919,832,979,875
578,895,507,172,876,170,785,437,612,411;994,98,431,936,970,901,460,215,312,647
756,117,780,103,886,465,672,662,27,716;713,995,282,898,483,220,426,646,259,836
636,133,38,559,407,945,208,144,279,287;368,707,878,248,37,68,543,67,836,407
601,218,799,87,600,455,951,563,761,146;189,60,179,369,658,792,84,725,2,649
596,606,366,402,537,560,908,475,209,226;131,170,36,759,95,356,941,499,837,857
434,316,862,800,88,527,365,841,393,979;875,886,612,58,616,295,101,373,426,4
623,918,803,310,743,855,937,421,188,515;326,189,655,384,330,606,377,509,560,133
187,725,28,642,802,229,666,622,289,730;438,189,998,733,480,918,259,180,997,348
845,154,346,943,635,316,399,521,52,581;316,232,658,997,121,271,97,603,461,670
709,947,272,140,375,637,720,125,841,150;346,607,372,490,305,610,282,729,958,424
557,612,282,476,897,953,255,626,429,72;313,25,388,327,341,37,823,946,603,696
766,587,433,690,713,742,289,438,8,509;90,951,818,620,364,909,938,830,725,641
387,279,749,289,955,95,532,344,289,875;839,227,945,911,728,239,519,847,952,161
531,690,574,729,325,738,373,136,223,522;63,437,247,77,544,659,789,159,385,85
450,256,521,732,846,73,223,521,867,524;910,964,554,706,731,856,999,922,155,151
528,827,541,902,275,175,611,831,634,886;564,480,412,335,324,146,782,261,979,437
844,336,887,656,201,418,365,729,494,577;706,467,956,955,107,467,537,970,856,767
656,184,544,988,673,98,810,896,134,501;275,142,169,73,747,768,208,126,197,870
726,379,207,620,86,380,137,643,166,795;165,234,997,314,517,530,148,877,686,632
488,194,362,733,189,790,629,30,465,66;612,49,854,93,899,923,656,299,790,472
408,943,218,868,592,155,542,544,719,227;302,630,458,697,11,179,596,169,38,571
821,141,472,681,585,424,377,509,170,222;70,250,199,264,777,948,714,740,542,85
1,667,843,495,484,839,832,389,179,391;108,589,360,922,96,740,225,52,875,800
734,112,788,944,972,214,673,91,472,238;7,680,549,598,553,641,867,732,704,890
528,917,867,248,218,987,725,313,754,568;905,242,561,575,455,600,291,582,213,472
880,189,365,998,613,268,492,417,642,756;728,128,204,707,29,843,291,343,290,189
600,305,749,334,909,224,628,261,654,228;432,468,155,639,261,871,906,93,244,167
878,846,651,131,878,713,633,725,49,282;69,464,13,107,122,379,505,631,355,413
219,249,65,55,533,225,277,689,973,910;786,289,437,647,369,531,398,712,741,497
555,734,920,493,354,118,655,235,276,323;408,167,380,977,465,128,329,651,485,818
720,416,717,241,306,192,453,101,902,247;987,515,609,813,784,429,918,367,778,709
196,604,690,108,776,620,506,321,240,645;717,102,159,711,667,25,182,612,416,696
864,318,335,713,408,968,933,231,643,508;492,422,747,477,870,752,349,918,180,934
452,381,530,766,45,445,452,375,920,934;140,672,653,166,556,896,114,952,392,414
31,696,45,591,746,340,477,168,574,534;166,166,338,469,481,479,275,277,946,8
849,345,134,604,740,111,941,564,403,641;36,94,868,25,55,437,860,392,756,936
901,26,202,637,691,119,824,284,320,814;659,395,425,23,776,886,313,633,181,299
832,969,943,329,148,649,465,750,558,880;67,145,809,823,509,164,341,119,104,847
717,552,550,179,831,844,756,933,312,625;998,506,496,682,135,625,87,119,446,286
459,312,967,924,535,665,703,6,243,68;478,606,727,513,256,16,693,454,645,206
753,347,876,696,858,376,24,709,952,122;999,601,601,113,327,295,23,399,933,897
738,818,873,572,932,351,323,117,213,339;900,91,316,562,885,835,850,401,166,437
115,662,700,677,624,680,754,595,730,638;317,965,233,131,592,680,50,144,869,194
645,230,492,731,302,300,960,331,475,985;126,475,300,385,860,815,996,442,413,349
563,244,332,680,424,21,693,411,297,637;671,617,816,14,591,668,883,280,960,205
912,554,642,726,415,844,651,36,635,188;164,850,66,729,464,849,624,715,781,109
461,643,854,673,724,184,886,653,312,734;116,242,732,64,405,201,976,778,949,375
499,909,39,565,299,275,740,341,999,59;154,194,965,639,837,645,259,72,750,366
914,703,513,231,675,834,474,718,348,130;143,431,867,227,580,427,737,42,192,823
39,720,961,546,895,443,404,722,951,797;47,328,575,470,150,693,271,125,241,253
997,289,626,452,339,19,609,974,867,363;231,882,873,686,375,273,882,164,74,851
188,517,475,699,345,554,978,374,720,227;168,964,803,530,665,450,639,68,994,403
962,188,206,397,760,433,659,917,927,641;690,699,409,705,466,115,836,670,938,139
932,455,472,458,149,568,139,33,271,950;593,585,875,667,14,688,969,622,395,4
98,290,22,576,834,894,276,84,121,839;85,801,972,869,757,541,602,966,819,198
36,924,995,991,502,367,995,404,438,926;865,262,698,931,260,755,136,425,750,886
274,716,165,459,224,805,217,717,150,235;336,815,396,15,89,227,204,631,107,281
107,467,859,285,580,460,649,271,734,571;165,683,355,740,772,224,553,130,854,455
41,210,11,512,247,680,542,668,208,279;367,402,978,157,385,998,940,692,125,771
395,976,535,751,678,495,360,615,725,26;223,401,211,726,54,452,420,111,473,515
347,468,744,1,515,937,537,383,251,242;578,295,275,889,3,838,434,917,281,593
209,971,601,776,232,559,108,34,103,196;532,300,640,64,49,411,67,920,588,806
212,36,389,141,88,786,147,589,571,938;695,499,365,863,441,344,367,281,831,138
590,83,101,342,496,263,542,549,105,76;972,733,918,251,436,258,891,796,456,233
115,429,219,100,605,868,533,324,254,395;102,679,578,498,254,355,208,410,4,80
716,511,32,814,157,586,486,131,125,462;240,813,291,669,292,869,949,878,321,959
905,521,153,569,193,725,306,639,455,906;78,496,577,409,900,104,286,767,930,642
576,972,727,76,916,957,222,655,136,545;442,222,529,603,581,263,807,197,163,693
297,908,98,446,257,797,678,929,607,108;367,990,971,100,800,352,392,559,758,934
553,684,31,185,794,905,44,569,792,611;695,436,288,1,171,114,252,626,57,955
125,151,761,375,21,638,756,290,16,825;943,233,860,772,783,944,301,791,920,739
7,649,968,865,43,889,227,279,731,709;120,163,956,803,751,682,717,437,636,902
406,875,290,389,171,332,786,795,901,696;806,541,110,225,994,671,122,235,871,506
830,422,148,503,380,180,829,878,140,572;932,297,199,460,332,652,256,797,488,265
232,152,783,126,53,508,137,58,346,249;638,859,828,249,262,228,966,442,600,70
244,366,451,376,260,108,950,497,829,661;561,376,435,369,435,141,494,60,484,705
241,204,733,625,169,805,167,47,682,189;311,309,563,617,590,287,780,829,757,379
772,365,777,702,922,855,998,955,74,753;910,631,573,643,930,120,78,727,577,114
79,991,356,165,637,747,535,262,583,661;653,47,466,461,841,952,188,365,126,275
317,335,155,731,394,23,333,941,285,410;789,731,291,49,201,436,956,69,274,153
634,346,59,439,91,180,521,942,35,502;198,316,80,968,183,843,331,367,774,241
387,429,349,235,755,4,910,971,128,4;800,348,195,258,879,643,592,508,459,207
764,585,57,931,794,278,443,794,863,615;339,115,868,293,804,849,608,840,82,416
85,154,695,582,276,851,660,485,955,660;896,896,644,832,2,846,184,498,922,340
798,340,704,982,198,226,695,105,25,702;400,360,526,964,265,156,587,837,695,902
155,550,221,981,277,532,265,994,288,11;9,141,486,711,961,508,76,241,551,24
20,583,910,521,101,24,379,128,616,33;720,529,241,945,262,431,794,201,896,367
789,805,586,589,978,117,676,1000,325,437;823,136,629,753,796,540,246,460,794,191
740,212,377,523,721,174,772,653,23,689;963,596,283,530,748,583,946,669,598,85
935,259,963,637,4,727,888,399,35,55;406,586,6,418,692,583,329,372,605,850
74,468,116,999,273,728,901,758,486,532;225,467,985,532,531,685,441,507,864,441
716,303,196,621,859,779,189,70,501,789;691,216,291,140,861,40,554,558,35,710
29,510,291,576,712,812,320,463,398,847;747,924,244,186,911,181,765,917,523,823
385,512,688,317,119,461,836,700,82,460;616,727,500,593,555,32,671,710,938,854
436,120,814,95,727,202,656,882,547,177;838,995,480,65,765,627,72,618,257,122
265,892,30,359,288,476,495,480,310,573;821,846,796,474,391,444,76,888,193,384
7,781,976,841,935,663,593,578,834,939;363,313,756,78,132,204,414,107,206,234
797,971,949,940,555,760,251,688,404,611;808,909,168,944,857,636,479,395,532,846
107,702,159,234,914,611,271,895,102,417;408,38,434,399,723,706,455,927,930,989
199,665,405,982,783,871,852,571,944,905;682,348,458,847,509,911,720,837,96,873
171,452,577,536,499,356,454,195,567,44;878,221,986,94,451,571,896,669,122,540
820,172,41,555,73,134,825,953,473,336;238,805,592,414,940,708,910,16,707,173
615,806,338,377,154,845,652,81,494,53;658,453,55,798,312,15,777,883,125,100
172,813,694,16,629,27,794,116,963,506;543,256,708,261,882,794,594,664,960,416
312,752,726,629,381,237,457,622,381,699;577,866,354,877,141,443,341,491,531,473
444,501,884,135,132,14,591,918,621,297;481,325,92,862,205,492,505,278,220,433
146,380,856,126,934,915,631,946,511,344;302,822,647,541,368,664,813,998,272,52
452,885,578,273,374,318,580,591,877,167;55,194,648,968,109,211,437,28,342,770
817,337,860,380,252,628,317,35,136,223;233,853,240,780,703,250,603,866,296,506
40,376,380,39,104,119,587,949,662,377;356,519,589,795,803,486,84,247,651,937
386,857,845,561,503,617,27,265,469,97;935,879,330,232,173,629,43,436,773,373
379,737,83,566,453,688,487,651,349,416;424,396,339,983,717,984,582,29,481,640
344,881,153,530,820,857,665,537,532,656;983,823,848,128,626,638,455,853,804,578
815,489,510,767,244,554,593,461,173,711;523,818,17,362,986,341,646,988,784,786
140,404,852,882,429,605,663,775,184,682;3,62,580,941,282,47,19,538,965,267
211,761,969,100,753,398,530,222,52,875;673,98,751,382,322,721,131,199,583,987
103,689,263,236,936,959,58,401,138,311;803,885,521,965,33,570,438,115,846,410
120,45,646,110,327,133,412,563,240,166;892,827,670,903,688,35,421,436,495,248
887,936,360,915,376,825,202,656,830,919;899,940,112,131,187,925,511,16,881,977
706,932,197,368,548,1,99,262,933,343;873,393,503,390,333,718,977,502,233,359
592,686,800,94,796,787,919,698,971,430;737,761,881,241,916,342,868,372,102,359
995,530,517,261,53,453,259,343,182,28;592,909,971,695,61,501,543,960,324,770
588,755,29,396,522,47,482,587,610,230;753,212,260,68,39,703,446,965,980,248
661,191,398,101,684,187,700,704,864,892;676,539,215,120,992,248,482,373,365,772
248,488,452,640,744,814,976,521,300,366;746,256,361,991,826,49,382,284,26,163
351,498,312,324,55,817,597,177,992,944;219,860,626,556,6,267,459,915,709,241
529,461,879,102,640,378,270,395,758,204;501,187,510,552,641,783,987,424,818,390
497,576,653,102,680,85,66,117,106,438;755,463,9,341,645,343,408,726,344,830
531,690,123,414,545,262,548,823,195,989;830,370,529,46,956,326,425,118,452,3
195,503,102,649,509,1,156,787,852,280;524,61,567,138,623,279,524,641,965,175
966,857,470,554,969,206,73,439,662,915;611,830,515,972,474,575,312,18,1,2
664,922,971,200,656,121,82,713,91,864;531,777,174,733,53,147,897,915,465,987
643,722,761,540,275,476,4,760,541,101;770,438,946,655,881,959,507,420,736,183
